Designator,Footprint,Quantity,Value,LCSC Part #
"_4, _3, _2",,3,,
,ec881b4f-345e-4d02-bfde-668b7d723b5b,1,,
"J1, J2, J3",jack-input,3,Conn_01x01_Socket,
J4,jack-output,1,Conn_01x01_Socket,
