Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",CP_Radial_D6.3mm_P2.50mm,3,47uF,
"D1, D2, D3",LED_D3.0mm,3,LED,
"H1, H17, H18, H19, H2, H20, H3, H4, H5, H6, H7, H8",IDC-Header_2x05_P2.54mm_Vertical,12,PWR_10,
"J1, J2, J3, J4, J5, J6",IDC-Header_2x08_P2.54mm_Vertical,6,PWR_16,
"J10, J13",power-socket,2,-12V,
"J11, J8",power-socket,2,GND,
"J12, J9",power-socket,2,+12V,
"J14, J7",power-socket,2,+5V,
"R1, R3",R_Default (DIN0207),2,1K,
R2,R_Default (DIN0207),1,680R,
