C13:1
C14:1
C16:1
C18:1
C19:1
C21:1
C22:1
C23:1
C25:1
C26:1
C27:1
C28:1
D1:1
D2:1
D3:1
D4:1
D9:1
G***:2
H1:1
J1:1
J10:1
J11:1
J12:1
J13:1
J2:1
J3:1
J4:1
J9:1
Q1:1
Q2:1
Q3:1
Q4:1
R1:1
R10:1
R11:1
R12:1
R13:1
R14:1
R15:1
R16:1
R17:1
R18:1
R19:1
R2:1
R20:1
R21:1
R22:1
R23:1
R24:1
R25:1
R26:1
R27:1
R28:1
R29:1
R30:1
R31:1
R32:1
R33:1
R34:1
R35:1
R36:1
R43:1
R44:1
R45:1
R46:1
R53:1
R54:1
R55:1
R56:1
R57:1
R59:1
R6:1
R60:1
R8:1
R9:1
REF**:1
SW1:1
SW10:1
SW11:1
SW12:1
SW13:1
SW14:1
SW15:1
SW2:1
SW3:1
SW4:1
SW5:1
SW6:1
SW7:1
SW8:1
SW9:1
TP1:1
TP2:1
TP3:1
U10:1
U2:1
U4:1
U7:1
U8:1
U9:1
XP1:1
XP10:1
XP11:1
XP13:1
XP16:1
XP4:1
XP5:1
XP7:1
