Designator,Footprint,Quantity,Value,LCSC Part #
"_4, _3, _2, ",,4,,
"J1, J2, J3, J4",jack-input,4,Conn_01x01,
"J5, J6, J7, J8",jack-output,4,Conn_01x01,
