Designator,Footprint,Quantity,Value,LCSC Part #
J1,DIP-10_W7.62mm_LongPads,1,Conn_01x10,
U1,Texas_DRX_WSON-10_2.5x2.5mm_P0.5mm_long-pads,1,DAC80502,
